,objectid,fod_id,fpa_id,fire_year,discovery_date,discovery_doy,stat_cause_code,stat_cause_descr,fire_size,fire_size_class,latitude,longitude,state,Month,Temp,WindSpd,WindGust,Humidity,Precipitation
1729992,1729993,300011000.0,W-667820,2014,2014-06-13,164,7,Arson,0.1,A,41.0542,-123.6728,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1770597,1770598,300116000.0,SFO-2014NY1716NY1716-2014-60042,2014,2014-04-21,111,7,Arson,0.5,B,44.1918,-74.4856,NY,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1761275,1761276,300104000.0,SFO-2014GAGAS-FY2015-Henry-004,2014,2014-12-13,347,5,Debris Burning,1.9,B,33.36141389,-84.14342778,GA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1758856,1758857,300102000.0,SFO-2014GAGAS-FY2015-Wilcox-003,2014,2014-08-18,230,5,Debris Burning,0.7,B,32.09982222,-83.46020833,GA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1757763,1757764,300100000.0,SFO-2014CACDFBDU006381,2014,2014-05-27,147,5,Debris Burning,0.5,B,34.399017,-117.44968300000001,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1776266,1776267,300128000.0,SFO-2014NY3344NY3344-2014-1409424,2014,2014-07-11,192,9,Miscellaneous,0.1,A,43.1395,-75.1652,NY,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1755129,1755130,300097000.0,SFO-2014SCSCS14FF0682,2014,2014-04-05,95,5,Debris Burning,4.0,B,33.950668,-79.04435699999999,SC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1780251,1780252,300135000.0,SFO-2014NY6006NY6006-2014-585,2014,2014-10-01,274,9,Miscellaneous,0.5,B,41.1409,-73.8348,NY,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1783892,1783893,300141000.0,SFO-2014SDSDS12761,2014,2014-09-16,259,9,Miscellaneous,30.0,C,43.51594162,-97.9897213,SD,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1747096,1747097,300087000.0,SFO-2014WADNR215,2014,2014-06-24,175,4,Campfire,0.1,A,48.1464,-117.8436,WA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1761057,1761058,300104000.0,SFO-2014MSMFC35487,2014,2014-12-06,340,5,Debris Burning,1.0,B,30.94852064,-89.33474889,MS,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1727394,1727395,300006000.0,FS-1525258,2014,2014-08-14,226,1,Lightning,0.1,A,44.95666667,-119.53666667,OR,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1748325,1748326,300089000.0,SFO-2014CACDFMVU000697,2014,2014-01-09,9,5,Debris Burning,0.1,A,32.887017,-116.851083,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1776303,1776304,300128000.0,SFO-2014ORODF20149811742014,2014,2014-04-09,99,9,Miscellaneous,0.1,A,42.38028,-122.02667,OR,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1784835,1784836,300143000.0,SFO-2014OHDNR41-60135-MAPR-187-02/24/2014,2014,2014-02-24,55,9,Miscellaneous,0.25,A,39.971256,-81.874586,OH,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1773325,1773326,300119000.0,SFO-2014FLFLS2014061126,2014,2014-12-09,343,8,Children,3.0,B,30.0659,-82.6812,FL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1740946,1740947,300079000.0,SFO-2014WVDOF2014-34407,2014,2014-03-12,71,12,Structure,0.5,B,37.8719145,-81.24884627,WV,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1764265,1764266,300108000.0,SFO-2014VAVAS HAL14020,2014,2014-03-11,70,5,Debris Burning,17.0,C,36.94280556,-79.08875,VA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1785719,1785720,300145000.0,SFO-2014TXLFDX517318,2014,2014-03-29,88,9,Miscellaneous,0.1,A,32.739638899999996,-97.274641,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1746384,1746385,300086000.0,SFO-2014MSMFC10271,2014,2014-03-14,73,4,Campfire,8.0,B,34.34732099,-89.46505475,MS,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1727947,1727948,300006000.0,FS-1522158,2014,2014-07-13,194,1,Lightning,0.1,A,44.11,-122.12333333,OR,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1732714,1732715,300019000.0,W-674799,2014,2014-10-21,294,2,Equipment Use,70.0,C,46.1008,-100.8106,ND,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1762049,1762050,300105000.0,SFO-2014KYKYS20720149001,2014,2014-03-14,73,5,Debris Burning,15.0,C,36.880161,-85.150963,KY,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1768776,1768777,300114000.0,SFO-2014GAGAS-FY2014-Chattooga-035,2014,2014-03-24,83,7,Arson,10.95,C,34.36634444,-85.45028333,GA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1769814,1769815,300115000.0,SFO-2014NCNCSNCST-009-20140052,2014,2014-04-26,116,7,Arson,0.4,B,34.6648,-78.33708333,NC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1782252,1782253,300138000.0,SFO-2014NJDEPA112304,2014,2014-11-23,327,9,Miscellaneous,0.25,A,41.1506,-74.6885,NJ,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1722079,1722080,300000000.0,FS-1525606,2014,2014-09-20,263,9,Miscellaneous,0.1,A,46.55166667,-114.94722222,ID,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1786163,1786164,300145000.0,SFO-2014TXLFDX490036,2014,2014-01-12,12,9,Miscellaneous,12.0,C,32.6109845,-95.81999999,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1757181,1757182,300100000.0,SFO-2014GAGAS-FY2014-Appling-031,2014,2014-05-06,126,5,Debris Burning,0.22,A,31.90683611,-82.31215556,GA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1752648,1752649,300094000.0,SFO-2014NCNCSNCST-011-20140060,2014,2014-03-14,73,5,Debris Burning,0.5,B,35.7825,-82.44896666,NC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1761791,1761792,300105000.0,SFO-2014LADAF 97781,2014,2014-10-29,302,5,Debris Burning,2.32,B,31.62085,-93.75703,LA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1757377,1757378,300100000.0,SFO-2014WVDOF2014-34026,2014,2014-05-11,131,5,Debris Burning,0.2,A,39.34711774,-78.52337015,WV,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1734387,1734388,300024000.0,W-671585,2014,2014-08-12,224,1,Lightning,0.1,A,42.045590000000004,-120.9535,OR,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1780387,1780388,300135000.0,SFO-2014ALAFC52411,2014,2014-08-24,236,9,Miscellaneous,26.0,C,33.418731,-86.03605999999999,AL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1739758,1739759,300078000.0,SFO-2014TNTNS14-E0031,2014,2014-02-20,51,11,Powerline,6.0,B,35.908066999999996,-83.7619,TN,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1723898,1723899,300002000.0,FS-1526419,2014,2014-10-09,282,2,Equipment Use,0.1,A,47.20055556,-113.46333333,MT,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1757436,1757437,300100000.0,SFO-2014CACDFFKU006313,2014,2014-05-14,134,5,Debris Burning,0.1,A,36.3957,-120.35635,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1755142,1755143,300097000.0,SFO-2014NCNCSNCST-049-20140077,2014,2014-04-05,95,5,Debris Burning,0.2,A,35.78181666,-80.94128333,NC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1733346,1733347,300021000.0,W-669621,2014,2014-07-16,197,1,Lightning,0.1,A,37.8758,-114.2842,NV,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1758902,1758903,300102000.0,SFO-2014SCSCS15WF0041,2014,2014-08-22,234,5,Debris Burning,0.5,B,33.400414000000005,-80.992638,SC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
